,,Membership Interests,,,Class A ordinary Shares,,,Class A preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Total Class AMembers’ Equity,,,Shares,,,ContributedCapital,,,Shares,,,ContributedCapital,,,Total Members’ Equity,,,,,,,,,,,,
"Balance at July 5, 2022",,,-,,,$,,,,,,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"52,849",,,,"1,056,980",,,,-,,,,"1,056,980",,,,-,,,,-,,,,-,,,,-,,,,"1,056,980",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,,,,-,,,,-,,,,-,,,,-,
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(154,990",),,,"(154,990",),,,-,,,,-,,,,-,,,,-,,,,"(154,990",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"52,849",,,$,"1,056,980",,,$,"(154,990",),,$,"901,990",,,,-,,,$,-,,,,"1,000",,,$,100,,,$,"902,090",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"52,849",,,$,"1,056,980",,,$,"(154,990",),,$,"901,990",,,,-,,,$,-,,,,"1,000",,,$,100,,,$,"902,090",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"25,401",,,,"508,020",,,,-,,,,"508,020",,,,-,,,,-,,,,-,,,,-,,,,"508,020",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,686,,,,"13,785",,,,-,,,,-,,,,"13,785",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(13,775",),,,"(13,775",),,,-,,,,-,,,,-,,,,-,,,,"(13,775",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"78,250",,,$,"1,565,000",,,$,"(168,765",),,$,"1,396,235",,,,686,,,$,"13,785",,,,"1,000",,,$,100,,,$,"1,410,120",
