,,Membership Interests,,,Class A ordinary Shares,,,Class B Shares,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Total Class AMembers’ Equity,,,Shares,,,ContributedCapital,,,Members’Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"65,825",,,$,"1,317,884",,,$,"(149,808",),,$,"1,168,076",,,,"1,000",,,$,100,,,$,"1,168,176",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,984,,,,"20,524",,,,-,,,,"20,524",,,,-,,,,-,,,,"20,524",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(20,514",),,,"(20,514",),,,-,,,,-,,,,"(20,514",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"66,809",,,$,"1,338,408",,,$,"(170,322",),,$,"1,168,086",,,,"1,000",,,$,100,,,$,"1,168,186",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"66,809",,,$,"1,338,408",,,$,"(170,322",),,$,"1,168,086",,,,"1,000",,,$,100,,,$,"1,168,186",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"1,008",,,,"21,070",,,,-,,,,"21,070",,,,-,,,,-,,,,"21,070",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(21,060",),,,"(21,060",),,,-,,,,-,,,,"(21,060",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"67,817",,,$,"1,359,478",,,$,"(191,382",),,$,"1,168,096",,,,"1,000",,,$,100,,,$,"1,168,196",
