,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class A,,,,,,Contributed,,,,,,Contributed,,,Total,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Members’ Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Members’ Equity,,,,,,,,,,,,
"Balance at March 27, 2023",,-,,,$,-,,,-,,,$,-,,,$,-,,,$,-,,,-,,,$,-,,,-,,,$,-,,,$,-,,,,,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"27,300",,,,"546,000",,,,-,,,,"546,000",,,,-,,,,-,,,,-,,,,-,,,,"546,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,13,,,,260,,,,-,,,,-,,,,260,
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(54,679",),,,"(54,679",),,,-,,,,-,,,,-,,,,-,,,,"(54,679",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"27,300",,,$,"546,000",,,$,"(54,679",),,$,"491,321",,,,13,,,$,260,,,,"1,000",,,$,100,,,$,"491,681",
