,,MembershipInterests,,,Class AOrdinary Shares,,,Class APreferred Shares,,,Class BShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,TotalClass A Members’,,,,,,Contributed,,,,,,Contributed,,,TotalMembers’,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,"1,000",,,$,100,,,$,100,
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"55,500",,,,"1,110,000",,,,-,,,,"1,110,000",,,,-,,,,-,,,,-,,,,-,,,,"1,110,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,394,,,,"7,880",,,,-,,,,-,,,,"7,880",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(117,880",),,,"(117,880",),,,-,,,,-,,,,-,,,,-,,,,"(117,880",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"55,500",,,$,"1,110,000",,,$,"(117,880",),,$,"992,120",,,,394,,,$,"7,880",,,,"1,000",,,$,100,,,$,"1,000,100",
