,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,,,,,,,Total,,,,,,,,,,,,
,,Interests,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Accumulated Deficit,,,Members’ Equity,,,Shares,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Members’ Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,"1,000",,,$,100,,,$,100,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"178,350",,,,"3,567,000",,,,-,,,,"3,567,000",,,,-,,,,-,,,,-,,,,-,,,,"3,567,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,832,,,,"16,640",,,,-,,,,-,,,,"16,640",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(370,509",),,,"(370,509",),,,-,,,,-,,,,-,,,,-,,,,"(370,509",)
"Balance at June 30, 2023",,,100,,,$,100,,,,"178,350",,,$,"3,567,000",,,$,"(370,509",),,$,"3,196,491",,,,832,,,$,"16,640",,,,"1,000",,,$,100,,,$,"3,213,331",
