,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,,,,,,,Total,,,,,,,,,,,,
,,Interests,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Accumulated Deficit,,,Members’ Equity,,,Shares,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Members’ Equity,,,,,,,,,,,,
"Balance at January 24, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"112,350",,,,"2,247,000",,,,-,,,,"2,247,000",,,,-,,,,-,,,,-,,,,-,,,,"2,247,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,201,,,,"4,020",,,,-,,,,-,,,,"4,020",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(226,456",),,,"(226,456",),,,-,,,,-,,,,-,,,,-,,,,"(226,456",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"112,350",,,$,"2,247,000",,,$,"(226,456",),,$,"2,020,544",,,,201,,,$,"4,020",,,,"1,000",,,$,100,,,$,"2,024,664",
