,,Membership Interests,,,Class A Ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,Total,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’Equity,,,Shares,,,ContributedCapital,,,Members’Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"84,092",,,$,"1,681,778",,,$,"(181,768",),,$,"1,500,010",,,,"1,000",,,$,100,,,$,"1,500,110",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,630,,,,"12,405",,,,-,,,,"12,405",,,,-,,,,-,,,,"12,405",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(12,405",),,,"(12,405",),,,-,,,,-,,,,"(12,405",)
"Balance at June 30, 2022",,,-,,,$,-,,,,"84,722",,,$,"1,694,183",,,$,"(194,173",),,$,"1,500,010",,,,"1,000",,,$,100,,,$,"1,500,110",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"85,352",,,$,"1,706,496",,,$,"(206,476",),,$,"1,500,020",,,,"1,000",,,$,100,,,$,"1,500,120",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,642,,,,"12,211",,,,-,,,,"12,211",,,,-,,,,-,,,,"12,211",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(12,211",),,,"(12,211",),,,-,,,,-,,,,"(12,211",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"85,994",,,$,"1,718,707",,,$,"(218,687",),,$,"1,500,020",,,,"1,000",,,$,100,,,$,"1,500,120",
