,,MembershipInterests,,,Class AOrdinary Shares,,,Class APreferred Shares,,,Class BShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,TotalClass A,,,,,,,,,,,,,,,Total,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’Equity,,,Shares,,,ContributedCapital,,,Shares,,,ContributedCapital,,,Members’Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,"1,000",,,$,100,,,$,100,
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"210,900",,,,"4,218,000",,,,-,,,,"4,218,000",,,,-,,,,-,,,,-,,,,-,,,,"4,218,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,264,,,,"5,280",,,,-,,,,-,,,,"5,280",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(423,280",),,,"(423,280",),,,-,,,,-,,,,-,,,,-,,,,"(423,280",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"210,900",,,$,"4,218,000",,,$,"(423,280",),,$,"3,794,720",,,,264,,,$,"5,280",,,,"1,000",,,$,100,,,$,"3,800,100",
