,,Membership Interests,,,Class A ordinary Shares,,,Class B Shares,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Accumulated Deficit,,,Total Class AMembers’ Equity,,,Shares,,,Contributed Capital,,,Members’ Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"101,705",,,$,"2,034,100",,,$,"(211,663",),,$,"1,822,437",,,,"1,000",,,$,100,,,$,"1,822,537",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"1,524",,,,"30,103",,,,-,,,,"30,103",,,,-,,,,-,,,,"30,103",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(30,093",),,,"(30,093",),,,-,,,,-,,,,"(30,093",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"103,229",,,$,"2,064,203",,,$,"(241,756",),,$,"1,822,447",,,,"1,000",,,$,100,,,$,"1,822,547",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"103,229",,,$,"2,064,203",,,$,"(241,756",),,$,"1,822,447",,,,"1,000",,,$,100,,,$,"1,822,547",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"1,548",,,,"29,799",,,,-,,,,"29,799",,,,-,,,,-,,,,"29,799",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(29,789",),,,"(29,789",),,,-,,,,-,,,,"(29,789",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"104,777",,,$,"2,094,002",,,$,"(271,545",),,$,"1,822,457",,,,"1,000",,,$,100,,,$,"1,822,557",
