,,Membership Interests,,,Class A Ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,Total,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’ Equity,,,Shares,,,ContributedCapital,,,Members’ Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,"1,000",,,$,100,,,$,100,
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"388,500",,,,"7,770,000",,,,-,,,,"7,770,000",,,,-,,,,-,,,,"7,770,000",
Class A ordinary shares issued,,,-,,,,-,,,,"1,215",,,,"24,300",,,,-,,,,"24,300",,,,-,,,,-,,,,"24,300",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(794,300",),,,"(794,300",),,,-,,,,-,,,,"(794,300",)
"Balance at June 30, 2022",,,-,,,$,-,,,,"389,715",,,$,"7,794,300",,,$,"(794,300",),,$,"7,000,000",,,,"1,000",,,$,100,,,$,"7,000,100",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"392,631",,,$,"7,852,620",,,$,"(852,610",),,$,"7,000,010",,,,"1,000",,,$,100,,,$,"7,000,110",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"2,946",,,,"57,388",,,,-,,,,"57,388",,,,-,,,,-,,,,"57,388",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(57,388",),,,"(57,388",),,,-,,,,-,,,,"(57,388",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"395,577",,,$,"7,910,008",,,$,"(909,998",),,$,"7,000,010",,,,"1,000",,,$,100,,,$,"7,000,110",
