,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class A,,,,,,Contributed,,,,,,Contributed,,,Total,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Members’ Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Members’ Equity,,,,,,,,,,,,
"Balance at January 24, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"25,000",,,,"500,000",,,,-,,,,"500,000",,,,-,,,,-,,,,-,,,,-,,,,"500,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,23,,,,460,,,,-,,,,-,,,,460,
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(45,460",),,,"(45,460",),,,-,,,,-,,,,-,,,,-,,,,"(45,460",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"25,000",,,$,"500,000",,,$,"(45,460",),,$,"454,540",,,,23,,,$,460,,,,"1,000",,,$,100,,,$,"455,100",
