,,Membership Interests,,,Class A ordinary Shares,,,Class A preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class A,,,,,,Contributed,,,,,,Contributed,,,Total,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Members’ Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Members’ Equity,,,,,,,,,,,,
"Balance at April 14, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"129,725",,,,"2,594,500",,,,-,,,,"2,594,500",,,,-,,,,-,,,,-,,,,-,,,,"2,594,500",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,348,,,,"6,960",,,,-,,,,-,,,,"6,960",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(265,950",),,,"(265,950",),,,-,,,,-,,,,-,,,,-,,,,"(265,950",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"129,725",,,$,"2,594,500",,,$,"(265,950",),,$,"2,328,550",,,,348,,,$,"6,960",,,,"1,000",,,$,100,,,$,"2,335,610",
