Entity,Total Assets,Total Liabilities,Total Class A Share Value Issued EOP,Class A Preferred Value,Class B Shares Value,Membership Interests,Class C Issued and Outstanding 2023,Total Class A Shares,Class A Preferred Issued EOP,Class A Pref Shares Issued Value,Subscriptions Settled Value,Accumulated RE BOP,Class A Shares Issued Balance BOP,Class A Shares Issued Value Balance BOP,Pref Class A Shares Balance BOP,Pref Class A Value Balance BOP,Membership Interest Issued BOP,Membership Interest Issued,Membership Interest Converted 2023,Net income/(loss),Share-based compensation - administrative services fees,Other amounts due to affiliates,Net Cash Provided/(Used) in Operating Activities,Purchase of artwork,Net Cash Provided/(Used) in Investing Activities,Proceeds from issuance of Class A ordinary shares,Net Cash Provided/(Used) in Financing Activities,Net Change in Cash and Cash Equivalents,"Cash and Cash Equivalents, beginning of period","Cash and Cash Equivalents, end of period",Issuance of Class A ordinary shares from subscriptions previously received,Net Income,Weighted Average Class A Shares Outstanding EOP
"masterworks 261, llc","2,792,160","85,120","2,703,120","3,820",100,-,0,"150,497",191,"3,820","3,009,940",-,-,-,-,-,-,100,-100,"-306,820","3,820",0,"-259,940","-2,750,000","-2,750,000","3,009,940","3,052,100","42,160",-,"42,160",0,"-306,820","150,497"
"masterworks 262, llc","14,148,520","2,234,440","11,913,980",0,100,-,0,"673,249",0,NA,"13,464,980",-,-,-,-,-,-,100,-100,"-1,551,000",0,0,-,"-13,464,980","-13,464,980","13,464,980","13,513,500","48,520",-,"48,520",0,"-1,551,000","563,075"
"masterworks 263, llc","625,100",-,"623,560","1,440",100,-,0,"34,700",72,"1,440","694,000",-,-,-,-,-,-,100,-100,"-70,440","1,440",0,"-69,000","-625,000","-625,000","694,000","694,100",100,-,100,0,"-70,440","33,989"
"masterworks 264, llc","786,528",-,"786,028",400,100,-,0,"43,650",20,400,"873,000",-,-,-,-,-,-,100,-100,"-86,972",400,0,"-86,572","-786,428","-786,428","873,000","873,100",100,-,100,0,"-86,972","43,650"
"masterworks 265, llc","655,542",-,"655,102",340,100,-,0,"36,400",17,340,"728,000",-,-,-,-,-,-,100,-100,"-72,898",340,0,"-72,558","-655,442","-655,442","728,000","728,100",100,-,100,0,"-72,898","36,400"
"masterworks 266, llc","589,592","34,940","554,252",300,100,-,0,"30,889",15,300,"617,780",-,-,-,-,-,-,100,-100,"-63,528",300,0,"-45,008","-572,772","-572,772","617,780","634,600","16,820",-,"16,820",0,"-63,528","28,145"
"masterworks 267, llc","491,681",-,"491,321",260,100,-,0,"27,300",13,260,"546,000",NA,NA,NA,$,-,NA,100,-100,"-54,679",260,0,"-54,419","-491,581","-491,581","546,000","546,100",100,-,100,0,"-54,679","27,300"
"masterworks 268, llc","2,134,200","2,134,100",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,NA,0,NA,0,"2,134,200","2,134,200",-,"2,134,200",0,-,-
"masterworks 269, llc","2,845,250","1,969,820","875,330",0,100,-,0,"59,049",0,NA,"1,180,980",-,-,-,-,-,-,100,-100,"-305,650",0,0,-,"-2,781,350","-2,781,350","1,180,980","2,845,250","63,900",-,"63,900",0,"-305,650","59,049"
"masterworks 270, llc","7,676,136","3,235,020","4,441,016",0,100,-,0,"261,063",0,NA,"5,221,260",-,-,-,-,-,-,100,-100,"-780,244",0,0,-,"-7,095,756","-7,095,756","5,221,260","7,676,136","580,380",-,"580,380",0,"-780,244","261,063"
