Entity,Total Assets,Total Liabilities,Total Class A Share Value Issued EOP,Class A Preferred Value,Class B Shares Value,Membership Interests,Class C Issued and Outstanding 2023,Total Class A Shares,Class A Preferred Issued EOP,Class A Pref Shares Issued Value,Subscriptions Settled Value,Accumulated RE BOP,Class A Shares Issued Balance BOP,Class A Shares Issued Value Balance BOP,Pref Class A Shares Balance BOP,Pref Class A Value Balance BOP,Membership Interest Issued BOP,Membership Interest Issued,Membership Interest Converted 2023,Net income/(loss),Share-based compensation - administrative services fees,Other amounts due to affiliates,Net Cash Provided/(Used) in Operating Activities,Purchase of artwork,Net Cash Provided/(Used) in Investing Activities,Proceeds from issuance of Class A ordinary shares,Net Cash Provided/(Used) in Financing Activities,Net Change in Cash and Cash Equivalents,"Cash and Cash Equivalents, beginning of period","Cash and Cash Equivalents, end of period",Issuance of Class A ordinary shares from subscriptions previously received,Net Income,Weighted Average Class A Shares Outstanding EOP
"masterworks 001, llc","1,815,121",0,"1,815,021",0,100,—,0,"105,570",0,0,-,"-272,994","104,784","2,088,015","24,956",100,-,-,-,"-14,918","14,918",0,-,0,-,0,-,-,121,121,0,"-14,918","104,981"
"masterworks 004, llc","989,844",0,"989,743",0,100,-,0,"57,274",0,0,-,"-147,309","56,848","1,137,052","13,613",100,-,-,-,"-8,156","8,156",0,-,0,-,0,-,-,121,121,0,"-8,156","56,955"
"masterworks 005, llc","1,080,790",0,"1,080,690",0,100,-,0,"62,425",0,0,-,"-162,448","61,963","1,243,138","14,860",100,-,-,-,"-10,744","10,744",0,-,0,-,0,-,-,121,121,0,"-10,744","62,079"
"masterworks 006, llc","5,171,361",0,"5,171,261",0,100,-,0,"297,066",0,0,-,"-727,480","294,852","5,898,741","1,000",100,-,-,-,"-47,678","47,678",0,-,0,-,0,-,-,121,121,0,"-47,678","295,406"
"masterworks 007, llc","1,949,209",0,"1,949,109",0,100,-,0,"111,968",0,0,-,"-319,815","111,134","2,268,924","1,000",100,-,-,-,"-29,307","29,307",0,-,0,-,0,-,-,121,121,0,"-29,307","111,343"
"masterworks 008, llc","1,168,186",0,"1,168,086",0,100,-,0,"67,313",0,0,-,"-170,322","66,809","1,338,408","1,000",100,-,-,-,"-10,418","10,418",0,-,0,-,0,-,-,121,121,0,"-10,418","66,935"
"masterworks 009, llc","600,121",0,"600,021",0,100,-,0,"34,471",0,0,-,"-90,369","34,213","690,390","1,000",100,-,-,-,"-7,331","7,331",0,-,0,-,0,-,-,121,121,0,"-7,331","34,278"
"masterworks 013, llc","1,380,121",0,"1,380,021",0,100,-,0,"79,124",0,0,-,"-190,717","78,536","1,570,738","1,000",100,-,-,-,"-11,883","11,883",0,-,0,-,0,-,-,121,121,0,"-11,883","78,683"
"masterworks 015, llc","2,005,121",0,"2,005,021",0,100,-,0,"114,989",0,0,-,"-314,048","114,131","2,319,069","1,000",100,-,-,-,"-21,373","21,373",0,-,0,-,0,-,-,121,121,0,"-21,373","114,346"
"masterworks 017, llc","3,500,121",-,"3,500,021",0,100,-,0,"199,400",0,0,-,"-460,350","197,918","3,960,371","1,000",100,-,-,-,"-29,759","29,759",0,-,0,-,0,-,-,121,121,0,"-29,759","198,289"
"masterworks 018, llc","2,420,121",0,"2,420,021",0,100,-,0,"138,146",0,0,-,"-327,138","137,120","2,747,159","1,000",100,-,-,-,"-23,152","23,152",0,-,0,-,0,-,-,121,121,0,"-23,152","137,377"
"masterworks 019, llc","1,800,121",0,"1,800,021",0,100,-,0,"103,028",0,0,-,"-238,833","102,260","2,038,854","1,000",100,-,-,-,"-11,201","11,201",0,-,0,-,0,-,-,121,121,0,"-11,201","102,452"
"masterworks 020, llc","700,121",0,"700,021",0,100,-,0,"40,065",0,0,-,"-94,851","39,765","794,872","1,000",100,-,-,-,"-6,600","6,600",0,-,0,-,0,-,-,121,121,0,"-6,600","39,840"
"masterworks 021, llc","3,000,121",0,"3,000,021",0,100,-,0,"170,909",0,0,-,"-411,661","169,637","3,411,682","1,000",100,-,-,-,"-32,226","32,226",0,-,0,-,0,-,-,121,121,0,"-32,226","169,955"
"masterworks 023, llc","500,121",0,"500,021",0,100,-,0,"28,538",0,0,-,"-66,272","28,328","566,293","1,000",100,-,-,-,"-4,968","4,968",0,-,0,-,0,-,-,121,121,0,"-4,968","28,381"
"masterworks 024, llc","1,100,121",0,"1,100,021",0,100,-,0,"62,804",0,0,-,"-146,248","62,336","1,246,269","1,000",100,-,-,-,"-9,332","9,332",0,-,0,-,0,-,-,121,121,0,"-9,332","62,453"
"masterworks 026, llc","937,620",0,"937,520",0,100,-,0,"53,979",0,0,-,"-155,487","53,577","1,093,007","1,000",100,-,-,-,"-17,726","17,726",0,-,0,-,0,-,-,120,120,0,"-17,726","53,678"
"masterworks 027, llc","1,250,121",0,"1,250,021",0,100,-,0,"71,973",0,0,-,"-179,926","71,439","1,429,947","1,000",100,-,-,-,"-11,056","11,056",0,-,0,-,0,-,-,121,121,0,"-11,056","71,573"
"masterworks 029, llc","2,700,121",0,"2,700,021",0,100,-,0,"155,220",0,0,-,"-389,217","154,062","3,089,238","1,000",100,-,-,-,"-25,563","25,563",0,-,0,-,0,-,-,121,121,0,"-25,563","154,352"
"masterworks 030, llc","7,750,120",0,"7,750,020",0,100,-,0,"445,836",0,0,-,"-1,163,895","442,518","8,913,915","1,000",100,-,-,-,"-90,814","90,814",0,-,0,-,0,-,-,120,120,0,"-90,814","443,348"
"masterworks 031, llc","1,000,121",0,"1,000,021",0,100,-,0,"57,433",0,0,-,"-144,921","57,007","1,144,942","1,000",100,-,-,-,"-10,026","10,026",0,-,0,-,0,-,-,121,121,0,"-10,026","57,114"
"masterworks 033, llc","1,575,120",0,"1,575,020",0,100,-,0,"90,454",0,0,-,"-217,388","89,782","1,792,408","1,000",100,-,-,-,"-11,535","11,535",0,-,0,-,0,-,-,120,120,0,"-11,535","89,950"
"masterworks 034, llc","1,150,120",0,"1,150,020",0,100,-,0,"66,141",0,0,-,"-162,427","65,649","1,312,447","1,000",100,-,-,-,"-9,230","9,230",0,-,0,-,0,-,-,120,120,0,"-9,230","65,772"
"masterworks 035, llc","1,800,120",0,"1,800,020",0,100,-,0,"103,388",0,0,-,"-254,846","102,620","2,054,866","1,000",100,-,-,-,"-17,061","17,061",0,-,0,-,0,-,-,120,120,0,"-17,061","102,812"
"masterworks 036, llc","9,000,120",0,"9,000,020",0,100,-,0,"516,514",0,0,-,"-1,307,137","512,668","10,307,157","1,000",100,-,-,-,"-98,919","98,919",0,-,0,-,0,-,-,120,120,0,"-98,919","513,630"
"masterworks 037, llc","5,500,120",0,"5,500,020",0,100,-,0,"315,310",0,0,-,"-757,610","312,964","6,257,630","1,000",100,-,-,-,"-46,216","46,216",0,-,0,-,0,-,-,120,120,0,"-46,216","313,551"
"masterworks 039, llc","1,550,120",0,"1,550,020",0,100,-,0,"88,889",0,0,-,"-219,756","88,229","1,769,776","1,000",100,-,-,-,"-15,137","15,137",0,-,0,-,0,-,-,120,120,0,"-15,137","88,394"
"masterworks 040, llc","1,500,120",0,"1,500,020",0,100,-,0,"85,994",0,0,-,"-206,476","85,352","1,706,496","1,000",100,-,-,-,"-12,211","12,211",0,-,0,-,0,-,-,120,120,0,"-12,211","85,513"
"masterworks 041, llc","8,200,120",0,"8,200,020",0,100,-,0,"469,110",0,0,-,"-1,138,950","465,618","9,338,970","1,000",100,-,-,-,"-82,568","82,568",0,-,0,-,0,-,-,120,120,0,"-82,568","466,491"
"masterworks 042, llc","8,350,120",0,"8,350,020",0,100,-,0,"477,503",0,0,-,"-1,164,636","473,951","9,514,656","1,000",100,-,-,-,"-95,886","95,886",0,-,0,-,0,-,-,120,120,0,"-95,886","474,839"
"masterworks 043, llc","3,000,120",0,"3,000,020",0,100,-,0,"171,629",0,0,-,"-406,137","170,351","3,406,157","1,000",100,-,-,-,"-24,838","24,838",0,-,0,-,0,-,-,120,120,0,"-24,838","170,671"
"masterworks 044, llc","12,000,120",0,"12,000,020",0,100,-,0,"685,771",0,0,-,"-1,666,300","680,665","13,666,320","1,000",100,-,-,-,"-127,854","127,854",0,-,0,-,0,-,-,120,120,0,"-127,854","681,942"
"masterworks 045, llc","6,692,160",0,"6,692,060",0,100,-,0,"379,284",0,0,-,"-835,137","376,458","7,527,197","1,000",100,-,-,-,"-48,522","48,522",-,-,-,-,-,-,-,110,110,0,"-48,522","377,165"
"masterworks 046, llc","2,200,120",0,"2,200,020",0,100,-,0,"125,545",0,0,-,"-291,623","124,609","2,491,643","1,000",100,-,-,-,"-18,453","18,453",0,-,0,-,0,-,-,120,120,0,"-18,453","124,843"
"masterworks 047, llc","3,000,120",0,"3,000,020",0,100,-,0,"171,823",0,0,-,"-419,580","170,545","3,419,600","1,000",100,-,-,-,"-31,937","31,937",0,-,0,-,0,-,-,120,120,0,"-31,937","170,865"
"masterworks 048, llc","700,120",0,"700,020",0,100,-,0,"40,051",0,0,-,"-96,652","39,751","796,672","1,000",100,-,-,-,"-7,203","7,203",0,-,0,-,0,-,-,120,120,0,"-7,203","39,826"
"masterworks 049, llc","4,800,120",0,"4,800,020",0,100,-,0,"274,303",0,0,-,"-643,944","272,263","5,443,964","1,000",100,-,-,-,"-39,413","39,413",0,-,0,-,0,-,-,120,120,0,"-39,413","272,773"
"masterworks 050, llc","2,376,441",0,"2,376,341",0,100,-,0,"135,725",0,0,-,"-318,034","134,717","2,694,375","1,000",100,-,-,-,"-20,397","20,397",0,-,0,-,0,-,-,120,120,0,"-20,397","134,969"
"masterworks 051, llc","1,475,120",0,"1,475,020",0,100,-,0,"84,281",0,0,-,"-197,283","83,651","1,672,303","1,000",100,-,-,-,"-11,608","11,608",0,-,0,-,0,-,-,120,120,0,"-11,608","83,809"
"masterworks 052, llc","1,800,120",0,"1,800,020",0,100,-,0,"102,537",0,0,-,"-235,146","101,775","2,035,166","1,000",100,-,-,-,"-14,512","14,512",0,-,0,-,0,-,-,120,120,0,"-14,512","101,966"
"masterworks 053, llc","1,822,547",0,"1,822,447",0,100,-,0,"104,003",0,0,-,"-241,756","103,229","2,064,203","1,000",100,-,-,-,"-14,996","14,996",0,-,0,-,0,-,-,120,120,0,"-14,996","103,423"
"masterworks 054, llc","14,200,120",0,"14,200,020",0,100,-,0,"805,920",0,0,-,"-1,798,971","799,920","15,998,991","1,000",100,-,-,-,"-119,340","119,340",0,-,-,-,-,-,-,120,120,0,"-119,340","801,420"
"masterworks 055, llc","4,200,120",0,"4,200,020",0,100,-,0,"239,417",0,0,-,"-551,863","237,635","4,751,883","1,000",100,-,-,-,"-34,909","34,909",0,-,0,-,0,-,-,120,120,0,"-34,909","238,081"
"masterworks 056, llc","4,750,120",0,"4,750,020",0,100,-,0,"271,002",0,0,-,"-630,772","268,986","5,380,792","1,000",100,-,-,-,"-44,433","44,433",0,-,0,-,0,-,-,120,120,0,"-44,433","269,490"
"masterworks 057, llc","1,300,120",0,"1,300,020",0,100,-,0,"74,166",0,0,-,"-171,602","73,614","1,471,622","1,000",100,-,-,-,"-10,066","10,066",0,-,0,-,0,-,-,120,120,0,"-10,066","73,752"
"masterworks 058, llc","20,000,120",0,"20,000,020",0,100,-,0,"1,137,997",0,0,-,"-2,634,827","1,129,525","22,634,847","1,000",100,-,-,-,"-197,948","197,948",-,-,-,-,-,-,-,120,120,0,"-197,948","1,131,643"
"masterworks 059, llc","3,100,120",0,"3,100,020",0,100,-,0,"175,201",0,0,-,"-377,960","173,899","3,477,980","1,000",100,-,-,-,"-26,053","26,053",0,-,-,-,-,-,-,120,120,0,"-26,053","174,225"
"masterworks 060, llc","1,100,120",0,"1,100,020",0,100,-,0,"62,756",0,0,-,"-145,516","62,288","1,245,536","1,000",100,-,-,-,"-9,683","9,683",0,-,0,-,0,-,-,120,120,0,"-9,683","62,405"
"masterworks 061, llc","1,986,786",0,"1,986,686",0,100,-,0,"112,746",0,0,0,0,0,0,0,0,0,0,0,"-16,439","16,439",0,-,-,-,-,-,-,120,120,0,"-16,439","112,116"
"masterworks 062, llc","2,200,120",0,"2,200,020",0,100,-,0,"125,095",0,0,-,"-282,922","124,165","2,482,942","1,000",100,-,-,-,"-19,809","19,809",0,-,0,-,0,-,-,120,120,0,"-19,809","124,398"
"masterworks 063, llc","2,100,120",0,"2,100,020",0,100,-,0,"119,628",0,0,-,"-281,008","118,740","2,381,028","1,000",100,-,-,-,"-21,401","21,401",0,-,0,-,0,-,-,120,120,0,"-21,401","118,962"
"masterworks 064, llc","6,150,120",0,"6,150,020",0,100,-,0,"349,072",0,0,-,"-778,602","346,474","6,928,622","1,000",100,-,-,-,"-50,804","50,804",-,-,0,-,-,-,-,120,120,0,"-50,804","347,124"
"masterworks 065, llc","1,350,120",0,"1,350,020",0,100,-,0,"76,930",0,0,-,"-176,382","76,360","1,526,402","1,000",100,-,-,-,"-10,021","10,021",-,-,0,-,-,-,-,120,120,0,"-10,021","76,503"
"masterworks 066, llc","2,250,120",0,"2,250,020",0,100,-,0,"127,960",0,0,-,"-289,375","127,006","2,539,395","1,000",100,-,-,-,"-17,930","17,930",0,-,0,-,-,-,-,120,120,0,"-17,930","127,245"
"masterworks 067, llc","2,900,110",0,"2,900,010",0,100,-,0,"164,365",0,0,-,"-362,762","163,141","3,262,772","1,000",100,-,-,-,"-24,247","24,247",-,-,-,-,-,-,-,110,110,0,"-24,247","163,447"
"masterworks 068, llc","3,628,416",0,"3,628,316",0,100,-,0,"206,036",0,0,-,"-461,684","204,500","4,090,000","1,000",100,-,-,-,"-29,875","29,875",-,-,0,-,-,-,-,120,120,0,"-29,875","204,884"
"masterworks 069, llc","2,000,120",0,"2,000,020",0,100,-,0,"113,583",0,0,-,"-254,720","112,737","2,254,740","1,000",100,-,-,-,"-16,789","16,789",-,-,-,-,-,-,-,120,120,0,"-16,789","112,949"
"masterworks 071, llc","750,120",0,"750,020",0,100,-,0,"42,724",0,0,-,"-97,663","42,406","847,683","1,000",100,-,-,-,"-5,406","5,406",-,-,0,-,0,-,-,120,120,0,"-5,406","42,486"
"masterworks 072, llc","2,600,120",0,"2,600,020",0,100,-,0,"148,020",0,0,-,"-338,300","146,916","2,938,320","1,000",100,-,-,-,"-20,926","20,926",-,-,0,-,0,-,-,120,120,0,"-20,926","147,192"
"masterworks 073, llc","2,350,120",0,"2,350,020",0,100,-,0,"133,402",0,0,-,"-298,100","132,406","2,648,120","1,000",100,-,-,-,"-20,438","20,438",-,-,-,-,-,-,-,120,120,0,"-20,438","132,655"
"masterworks 074, llc","11,500,120",0,"11,500,020",0,100,-,0,"648,639",0,0,-,"-1,376,160","643,809","12,876,180","1,000",100,-,-,-,"-96,890","96,890",-,-,0,-,-,-,-,120,120,0,"-96,890","645,017"
"masterworks 075, llc","10,200,110",0,"10,200,010",0,100,-,0,"573,959",0,0,-,"-1,193,730","569,687","11,393,740","1,000",100,-,-,-,"-85,696","85,696",-,-,-,-,-,-,-,110,110,0,"-85,696","570,755"
"masterworks 076, llc","850,120",0,"850,020",0,100,-,0,"48,392",0,0,-,"-110,581","48,032","960,601","1,000",100,-,-,-,"-7,079","7,079",-,-,0,-,-,-,-,120,120,0,"-7,079","48,122"
"masterworks 079, llc","1,950,120",0,"1,950,020",0,100,-,0,"110,901",0,0,-,"-251,440","110,073","2,201,460","1,000",100,-,-,-,"-17,073","17,073",-,-,-,-,-,-,-,120,120,0,"-17,073","110,280"
"masterworks 080, llc","1,850,110",0,"1,850,010",0,100,-,0,"104,811",0,0,-,"-229,758","104,031","2,079,768","1,000",100,-,-,-,"-13,794","13,794",-,-,-,-,-,-,-,110,110,0,"-13,794","104,226"
"masterworks 081, llc","1,400,120",0,"1,400,020",0,100,-,0,"79,458",0,0,-,"-177,260","78,864","1,577,280","1,000",100,-,-,-,"-11,963","11,963",-,-,0,-,-,-,-,120,120,0,"-11,963","79,013"
"masterworks 082, llc","9,650,110",0,"9,650,010",0,100,-,0,"546,077",0,0,-,"-1,190,170","542,009","10,840,180","1,000",100,-,-,-,"-78,370","78,370",-,-,-,-,-,-,-,110,110,0,"-78,370","543,026"
"masterworks 083, llc","2,627,049",0,"2,626,949",0,100,-,0,"149,094",0,0,-,"-332,731","147,984","2,959,680","1,000",100,-,-,-,"-22,938","22,938",-,-,-,-,-,-,-,120,120,0,"-22,938","148,262"
"masterworks 084, llc","867,270",0,"867,170",0,100,-,0,"49,266",0,0,-,"-110,830","48,900","978,000","1,000",100,-,-,-,"-7,419","7,419",-,-,0,-,0,-,-,120,120,0,"-7,419","48,992"
"masterworks 085, llc","14,000,120",0,"14,000,020",0,100,-,0,"792,543",0,0,-,"-1,732,880","786,645","15,732,900","1,000",100,-,-,-,"-114,805","114,805",-,-,-,-,-,-,-,120,120,0,"-114,805","788,120"
"masterworks 086, llc","2,556,542",0,"2,556,442",0,100,-,0,"144,408",0,0,-,"-310,238","143,334","2,866,680","1,000",100,-,-,-,"-22,178","22,178",-,-,-,-,-,-,-,120,120,0,"-22,178","143,603"
"masterworks 087, llc","850,120",0,"850,020",0,100,-,0,"48,081",0,0,-,"-104,400","47,721","954,420","1,000",100,-,-,-,"-8,041","8,041",-,-,0,-,-,-,-,120,120,0,"-8,041","47,811"
"masterworks 088, llc","8,093,998",0,"8,093,898",0,100,-,0,"457,460",0,0,-,"-987,142","454,052","9,081,040","1,000",100,-,-,-,"-67,598","67,598",0,-,-,-,-,-,-,110,110,0,"-67,598","454,904"
"masterworks 089, llc","1,925,110",0,"1,925,010",0,100,-,0,"108,906",0,0,-,"-239,402","108,096","2,164,412","1,000",100,-,-,-,"-21,125","21,125",0,-,-,-,-,-,-,110,110,0,"-21,125","108,299"
"masterworks 090, llc","7,000,110",0,"7,000,010",0,100,-,0,"391,902",0,0,-,"-779,710","388,986","7,779,720","1,000",100,-,-,-,"-58,174","58,174",0,-,-,-,-,-,-,110,110,0,"-58,174","389,715"
"masterworks 091, llc","7,000,110",0,"7,000,010",0,100,-,0,"395,577",0,0,-,"-852,610","392,631","7,852,620","1,000",100,-,-,-,"-57,388","57,388",0,-,-,-,-,-,-,110,110,0,"-57,388","393,368"
"masterworks 092, llc","14,558,110",0,"14,558,010",0,100,-,0,"821,982",0,0,-,"-1,759,230","815,862","16,317,240","1,000",100,-,-,-,"-121,145","121,145",0,-,-,-,-,-,-,110,110,0,"-121,145","817,392"
"masterworks 093, llc","20,000,110",-,"20,000,010",0,100,-,0,"1,119,762",0,0,"25,360","-2,228,670","1,110,166","22,203,320","1,000",100,-,-,-,"-165,852","165,852",-,"-25,360",-,-,"7,727","7,727","-17,633","17,743",110,0,"-165,852","1,113,516"
"masterworks 094, llc","15,430,110",0,"15,430,010",0,100,-,0,"866,117",0,0,-,"-1,763,330","859,667","17,193,340","1,000",100,-,-,-,"-129,000","129,000",0,-,0,-,0,-,-,110,110,0,"-129,000","861,280"
"masterworks 095, llc","3,330,110",0,"3,330,010",0,100,-,0,"188,283",0,0,-,"-407,570","186,879","3,737,580","1,000",100,-,-,-,"-28,333","28,333",0,-,-,-,-,-,-,110,110,0,"-28,333","187,230"
"masterworks 096, llc","3,650,110",0,"3,650,010",0,100,-,0,"206,152",0,0,-,"-442,310","204,616","4,092,320","1,000",100,-,-,-,"-30,605","30,605",0,-,-,-,-,-,-,110,110,0,"-30,605","205,000"
"masterworks 097, llc","4,200,110",0,"4,200,010",0,100,-,0,"237,037",0,0,-,"-505,450","235,273","4,705,460","1,000",100,-,-,-,"-35,368","35,368",0,-,-,-,-,-,-,110,110,0,"-35,368","235,714"
"masterworks 098, llc","2,550,110",0,"2,550,010",0,100,-,0,"144,388",0,0,-,"-317,406","143,314","2,867,416","1,000",100,-,-,-,"-23,671","23,671",0,-,-,-,-,-,-,110,110,0,"-23,671","143,583"
"masterworks 099, llc","579,895",0,"579,795",0,100,-,0,"32,791",0,0,-,"-71,105","32,545","650,900","1,000",100,-,-,-,"-4,898","4,898",0,-,-,-,-,-,-,110,110,0,"-4,898","32,607"
"masterworks 100, llc","1,950,110",0,"1,950,010",0,100,-,0,"110,359",0,0,-,"-240,730","109,537","2,190,740","1,000",100,-,-,-,"-14,923","14,923",0,-,-,-,-,-,-,110,110,0,"-14,923","109,743"
"masterworks 101, llc","8,010,110",0,"8,010,010",0,100,-,0,"450,554",0,0,-,"-933,990","447,200","8,944,000","1,000",100,-,-,-,"-65,185","65,185",0,0,-,-,-,-,0,110,110,0,"-65,185","448,039"
"masterworks 102, llc","1,542,610",0,"1,542,510",0,100,-,0,"87,047",0,0,-,"-185,470","86,399","1,727,980","1,000",100,-,-,-,"-11,748","11,748",0,-,-,-,-,-,-,110,110,0,"-11,748","86,561"
"masterworks 103, llc","2,100,110",0,"2,100,010",0,100,-,0,"118,615",0,0,-,"-254,650","117,733","2,354,660","1,000",100,-,-,-,"-17,481","17,481",0,-,-,-,-,-,-,110,110,0,"-17,481","117,954"
"masterworks 104, llc","1,700,110",0,"1,700,010",0,100,-,0,"95,906",0,0,-,"-203,830","95,192","1,903,840","1,000",100,-,-,-,"-14,212","14,212",0,-,-,-,-,-,-,110,110,0,"-14,212","95,371"
"masterworks 105, llc","2,850,110",0,"2,850,010",0,100,-,0,"160,977",0,0,-,"-343,873","159,777","3,193,883","1,000",100,-,-,-,"-20,538","20,538",0,0,-,-,-,-,0,110,110,0,"-20,538","160,077"
"masterworks 106, llc","2,700,110",0,"2,700,010",0,100,-,0,"152,143",0,0,-,"-321,298","151,009","3,021,308","1,000",100,-,-,-,"-25,441","25,441",0,-,-,-,-,-,-,110,110,0,"-25,441","151,293"
"masterworks 107, llc","1,719,710",0,"1,719,610",0,100,-,0,"96,884",0,0,-,"-203,670","96,164","1,923,280","1,000",100,-,-,-,"-14,292","14,292",0,-,-,-,-,-,-,110,110,0,"-14,292","96,344"
"masterworks 108, llc","2,600,100",0,"2,600,000",0,100,-,0,"144,480",0,0,"2,886,000",-,-,-,"1,000",100,-,-,-,"-289,600","3,600",0,"-286,000","-2,600,000","-2,600,000","2,886,000","2,886,000",-,100,100,0,"-289,600","125,625"
"masterworks 109, llc","6,500,110",0,"6,500,010",0,100,-,0,"366,381",0,0,-,"-773,010","363,651","7,273,020","1,000",100,-,-,-,"-54,491","54,491",0,-,-,-,-,-,-,110,110,0,"-54,491","364,334"
"masterworks 110, llc","2,200,110",0,"2,200,010",0,100,-,0,"123,942",0,0,-,"-260,350","123,018","2,460,360","1,000",100,-,-,-,"-18,545","18,545",0,-,-,-,-,-,-,110,110,0,"-18,545","123,249"
"masterworks 111, llc","2,200,110",0,"2,200,010",0,100,-,0,"124,028",0,0,-,"-262,070","123,104","2,462,080","1,000",100,-,-,-,"-18,180","18,180",0,-,-,-,-,-,-,110,110,0,"-18,180","123,335"
"masterworks 112, llc","825,110",0,"825,010",0,100,-,0,"46,490",0,0,-,"-97,830","46,142","922,840","1,000",100,-,-,-,"-6,908","6,908",0,-,-,-,-,-,-,110,110,0,"-6,908","46,229"
"masterworks 113, llc","1,800,110",0,"1,800,010",0,100,-,0,"101,406",0,0,-,"-212,990","100,650","2,013,000","1,000",100,-,-,-,"-14,939","14,939",0,-,-,-,-,-,-,110,110,0,"-14,939","100,839"
"masterworks 114, llc","3,250,110",0,"3,250,010",0,100,-,0,"183,508",0,0,-,"-392,790","182,140","3,642,800","1,000",100,-,-,-,"-27,100","27,100",0,-,-,-,-,-,-,110,110,0,"-27,100","182,482"
"masterworks 115, llc","3,100,110",0,"3,100,010",0,100,-,0,"174,656",0,0,-,"-367,070","173,354","3,467,080","1,000",100,-,-,-,"-26,359","26,359",0,-,-,-,-,-,-,110,110,0,"-26,359","173,680"
"masterworks 116, llc","5,275,110",0,"5,275,010",0,100,-,0,"296,324",0,0,-,"-607,310","294,116","5,882,320","1,000",100,-,-,-,"-44,160","44,160",0,-,0,-,0,-,-,110,110,0,"-44,160","294,668"
"masterworks 117, llc","9,400,110",0,"9,400,010",0,100,-,0,"528,238",0,0,-,"-1,086,150","524,308","10,486,160","1,000",100,-,-,-,"-79,307","79,307",-,-,-,-,-,-,-,110,110,0,"-79,307","525,291"
"masterworks 118, llc","1,550,110",0,"1,550,010",0,100,-,0,"86,975",0,0,-,"-176,530","86,327","1,726,540","1,000",100,-,-,-,"-12,814","12,814",0,-,-,-,-,-,-,110,110,0,"-12,814","86,489"
"masterworks 120, llc","776,381",0,"776,281",0,100,-,0,"43,653",0,0,-,"-90,299","43,329","866,580","1,000",100,-,-,-,"-6,480","6,480",0,-,0,-,0,-,-,110,110,0,"-6,480","43,410"
"masterworks 121, llc","7,000,110",-,"7,000,010",0,100,-,0,"391,416",0,0,"319,520","-769,990","372,524","7,450,480","1,000",100,-,-,-,"-54,106","54,106","-7,031","-326,551",0,-,"232,228","232,228","-94,323","94,433",110,0,"-54,106","383,904"
"masterworks 122, llc","10,750,110",0,"10,750,010",0,100,-,0,"606,210",0,0,-,"-1,283,950","601,698","12,033,960","1,000",100,-,-,-,"-89,405","89,405",0,-,-,-,-,-,-,110,110,0,"-89,405","602,826"
"masterworks 123, llc","1,600,110",0,"1,600,010",0,100,-,0,"89,688",0,0,-,"-180,430","89,022","1,780,440","1,000",100,-,-,-,"-13,320","13,320",0,-,0,-,0,-,-,110,110,0,"-13,320","89,189"
"masterworks 124, llc","3,000,110",0,"3,000,010",0,100,-,0,"168,170",0,0,-,"-338,310","166,916","3,338,320","1,000",100,-,-,-,"-25,080","25,080",0,-,0,-,0,-,-,110,110,0,"-25,080","167,230"
"masterworks 125, llc","3,075,110",0,"3,075,010",0,100,-,0,"173,041",0,0,-,"-360,010","171,751","3,435,020","1,000",100,-,-,-,"-26,071","26,071",0,0,0,-,0,-,0,110,110,0,"-26,071","172,074"
"masterworks 126, llc","600,110",0,"600,010",0,100,-,0,"33,766",0,0,-,"-70,270","33,514","670,280","1,000",100,-,-,-,"-5,495","5,495",0,-,0,-,0,-,-,110,110,0,"-5,495","33,577"
"masterworks 127, llc","2,220,110",0,"2,220,010",0,100,-,0,"124,926",0,0,-,"-259,910","123,996","2,479,920","1,000",100,-,-,-,"-17,898","17,898",0,-,0,-,0,-,-,110,110,0,"-17,898","124,229"
"masterworks 128, llc","3,500,110",0,"3,500,010",0,100,-,0,"196,467",0,0,-,"-400,050","195,003","3,900,060","1,000",100,-,-,-,"-29,280","29,280",0,-,0,-,0,-,-,110,110,0,"-29,280","195,369"
"masterworks 129, llc","2,100,110",0,"2,100,010",0,100,-,0,"118,172",0,0,-,"-245,790","117,290","2,345,800","1,000",100,-,-,-,"-19,082","19,082",0,-,0,-,0,-,-,110,110,0,"-19,082","117,511"
"masterworks 130, llc","4,500,110",-,"4,500,010",0,100,-,0,"251,944",0,0,"45,740","-501,430","247,785","4,955,700","1,000",100,-,-,-,"-37,440","37,440",0,"-45,740",0,-,"32,229","32,229","-13,511","13,621",110,0,"-37,440","250,159"
"masterworks 131, llc","2,401,210",0,"2,401,110",0,100,-,0,"134,847",0,0,-,"-275,790","133,845","2,676,900","1,000",100,-,-,-,"-19,679","19,679",0,-,0,-,0,-,-,110,110,0,"-19,679","134,096"
"masterworks 132, llc","630,569",0,"630,469",0,100,-,0,"35,474",0,0,-,"-73,731","35,210","704,200","1,000",100,-,-,-,"-5,280","5,280",0,-,0,-,0,-,-,110,110,0,"-5,280","35,276"
"masterworks 133, llc","1,812,034",0,"1,811,934",0,100,-,0,"101,944",0,0,-,"-211,826","101,188","2,023,760","1,000",100,-,-,-,"-16,099","16,099",0,-,0,-,0,-,-,110,110,0,"-16,099","101,377"
"masterworks 134, llc","1,572,110",0,"1,572,010",0,100,-,0,"88,122",0,0,-,"-177,350","87,468","1,749,360","1,000",100,-,-,-,"-13,080","13,080",0,-,0,-,0,-,-,110,110,0,"-13,080","87,632"
