,,Membership Interests,,,Class A ordinary Shares,,,Class A preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Accumulated Deficit,,,TotalClass A Members' Equity,,,Shares,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Total Members' Equity,,,,,,,,,,,,
"Balance at March 2, 2022",,,-,,,$,,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"111,050",,,,"2,221,000",,,,-,,,,"2,221,000",,,,-,,,,-,,,,-,,,,-,,,,"2,221,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,213,,,,"4,260",,,,-,,,,-,,,,"4,260",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(224,450",),,,"(224,450",),,,-,,,,-,,,,-,,,,-,,,,"(224,450",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"111,050",,,$,"2,221,000",,,$,"(224,450",),,$,"1,996,550",,,,213,,,$,"4,260",,,,"1,000",,,$,100,,,$,"2,000,910",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"111,050",,,$,"2,221,000",,,$,"(224,450",),,$,"1,996,550",,,,213,,,$,"4,260",,,,"1,000",,,$,100,,,$,"2,000,910",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,668",,,,"33,139",,,,-,,,,-,,,,"33,139",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(33,129",),,,"(33,129",),,,-,,,,-,,,,-,,,,-,,,,"(33,129",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"111,050",,,$,"2,221,000",,,$,"(257,579",),,$,"1,963,421",,,,"1,881",,,$,"37,399",,,,"1,000",,,$,100,,,$,"2,000,920",
