,,Membership Interests,,,Class A Ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,Total,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’ Equity,,,Shares,,,ContributedCapital,,,Members’ Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"74,706",,,$,"1,494,120",,,$,"(154,630",),,$,"1,339,490",,,,"1,000",,,$,100,,,$,"1,339,590",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,526,,,,"10,520",,,,-,,,,"10,520",,,,-,,,,-,,,,"10,520",
Class A ordinary shares issued,,,-,,,,-,,,,558,,,,"11,099",,,,-,,,,"11,099",,,,-,,,,-,,,,"11,099",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(11,099",),,,"(11,099",),,,-,,,,-,,,,"(11,099",)
"Balance at June 30, 2022",,,-,,,$,-,,,,"75,790",,,$,"1,515,739",,,$,"(165,729",),,$,"1,350,010",,,,"1,000",,,$,100,,,$,"1,350,110",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"76,360",,,$,"1,526,402",,,$,"(176,382",),,$,"1,350,020",,,,"1,000",,,$,100,,,$,"1,350,120",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,570,,,,"10,021",,,,-,,,,"10,021",,,,-,,,,-,,,,"10,021",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(10,021",),,,"(10,021",),,,-,,,,-,,,,"(10,021",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"76,930",,,$,"1,536,423",,,$,"(186,403",),,$,"1,350,020",,,,"1,000",,,$,100,,,$,"1,350,120",
