,,Membership Interests,,,Class A Ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class AMembers’,,,,,,Contributed,,,TotalMembers’,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Equity,,,Shares,,,Capital,,,Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"41,782",,,$,"835,640",,,$,"(85,630",),,$,"750,010",,,,"1,000",,,$,100,,,$,"750,110",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,312,,,,"6,207",,,,-,,,,"6,207",,,,-,,,,-,,,,"6,207",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(6,207",),,,"(6,207",),,,-,,,,-,,,,"(6,207",)
"Balance at June 30, 2022",,,-,,,$,-,,,,"42,094",,,$,"841,847",,,$,"(91,837",),,$,"750,010",,,,"1,000",,,$,100,,,$,"750,110",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"42,406",,,$,"847,683",,,$,"(97,663",),,$,"750,020",,,,"1,000",,,$,100,,,$,"750,120",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,318,,,,"5,406",,,,-,,,,"5,406",,,,-,,,,-,,,,"5,406",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(5,406",),,,"(5,406",),,,-,,,,-,,,,"(5,406",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"42,724",,,$,"853,089",,,$,"(103,069",),,$,"750,020",,,,"1,000",,,$,100,,,$,"750,120",
