,,Membership Interests,,,Class A ordinary Shares,,,Class B Shares,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,Contributed Capital,,,Shares,,,Contributed Capital,,,Accumulated Deficit,,,Total Class A Members’ Equity,,,Shares,,,Contributed Capital,,,Members’ Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"234,119",,,$,"4,682,380",,,$,"(482,370",),,$,"4,200,010",,,,"1,000",,,$,100,,,$,"4,200,110",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"3,516",,,,"69,503",,,,-,,,,"69,503",,,,-,,,,-,,,,"69,503",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(69,493",),,,"(69,493",),,,-,,,,-,,,,"(69,493",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"237,635",,,$,"4,751,883",,,$,"(551,863",),,$,"4,200,020",,,,"1,000",,,$,100,,,$,"4,200,120",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"237,635",,,$,"4,751,883",,,$,"(551,863",),,$,"4,200,020",,,,"1,000",,,$,100,,,$,"4,200,120",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"3,564",,,,"70,674",,,,-,,,,"70,674",,,,-,,,,-,,,,"70,674",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(70,664",),,,"(70,664",),,,-,,,,-,,,,"(70,664",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"241,199",,,$,"4,822,557",,,$,"(622,527",),,$,"4,200,030",,,,"1,000",,,$,100,,,$,"4,200,130",
