,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class AMembers’,,,,,,Contributed,,,,,,Contributed,,,TotalMembers’,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,100,,,$,100,,,-,,,$,-,,,$,-,,,$,-,,,-,,,$,-,,,-,,,$,-,,,$,100,,,,,
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"56,287",,,,"1,125,740",,,,-,,,,"1,125,740",,,,-,,,,-,,,,-,,,,-,,,,"1,125,740",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,,,,,,,,-,,,,-,,,,-,
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(149,000",),,,"(149,000",),,,-,,,,-,,,,-,,,,-,,,,"(149,000",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"56,287",,,$,"1,125,740",,,$,"(149,000",),,$,"976,740",,,,-,,,$,-,,,,"1,000",,,$,100,,,$,"976,840",
