,,Membership Interests,,,Class A ordinary Shares,,,Class B Shares,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Total Class AMembers’ Equity,,,Shares,,,ContributedCapital,,,Members’ Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"64,677",,,$,"1,293,434",,,$,"(143,424",),,$,"1,150,010",,,,"1,000",,,$,100,,,$,"1,150,110",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,972,,,,"19,012",,,,-,,,,"19,012",,,,-,,,,-,,,,"19,012",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(19,002",),,,"(19,002",),,,-,,,,-,,,,"(19,002",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"65,649",,,$,"1,312,446",,,$,"(162,426",),,$,"1,150,020",,,,"1,000",,,$,100,,,$,"1,150,120",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"65,649",,,$,"1,312,446",,,$,"(162,426",),,$,"1,150,020",,,,"1,000",,,$,100,,,$,"1,150,120",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,984,,,,"18,108",,,,-,,,,"18,108",,,,-,,,,-,,,,"18,108",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(18,098",),,,"(18,098",),,,-,,,,-,,,,"(18,098",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"66,633",,,$,"1,330,554",,,$,"(180,524",),,$,"1,150,030",,,,"1,000",,,$,100,,,$,"1,150,130",
