,,MembershipInterests,,,Class AOrdinary Shares,,,Class APreferred Shares,,,Class BShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,TotalClass A,,,,,,,,,,,,,,,Total,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’Equity,,,Shares,,,ContributedCapital,,,Shares,,,ContributedCapital,,,Members’ Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,,100,,,$,100,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,100,
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"78,150",,,,"1,563,000",,,,-,,,,"1,563,000",,,,-,,,,-,,,,-,,,,-,,,,"1,563,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,274,,,,"5,480",,,,-,,,,-,,,,"5,480",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(160,480",),,,"(160,480",),,,-,,,,-,,,,-,,,,-,,,,"(160,480",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"78,150",,,$,"1,563,000",,,$,"(160,480",),,$,"1,402,520",,,,274,,,$,"5,480",,,,"1,000",,,$,100,,,$,"1,408,100",
