,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class A,,,,,,Contributed,,,,,,Contributed,,,Total,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Members’ Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Members’ Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,"1,000",,,$,100,,,$,100,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"33,300",,,,"666,000",,,,-,,,,"666,000",,,,-,,,,-,,,,-,,,,-,,,,"666,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,217,,,,"4,340",,,,-,,,,-,,,,"4,340",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(70,340",),,,"(70,340",),,,-,,,,-,,,,-,,,,-,,,,"(70,340",)
"Balance at June 30, 2023",,,100,,,$,100,,,,"33,300",,,$,"666,000",,,$,"(70,340",),,$,"595,660",,,,217,,,$,"4,340",,,,"1,000",,,$,100,,,$,"600,200",
