,,Membership Interests,,,Class A Ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class A Members’,,,,,,Contributed,,,Total Members’,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Equity,,,Shares,,,Capital,,,Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"39,177",,,$,"783,422",,,$,"(83,411",),,$,"700,011",,,,"1,000",,,$,100,,,$,"700,111",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,294,,,,"5,746",,,,-,,,,"5,746",,,,-,,,,-,,,,"5,746",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(5,746",),,,"(5,746",),,,-,,,,-,,,,"(5,746",)
"Balance at June 30, 2022",,,-,,,$,-,,,,"39,471",,,$,"789,168",,,$,"(89,157",),,$,"700,011",,,,"1,000",,,$,100,,,$,"700,111",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"39,765",,,$,"794,872",,,$,"(94,851",),,$,"700,021",,,,"1,000",,,$,100,,,$,"700,121",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,300,,,,"6,600",,,,-,,,,"6,600",,,,-,,,,-,,,,"6,600",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(6,600",),,,"(6,600",),,,-,,,,-,,,,"(6,600",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"40,065",,,$,"801,472",,,$,"(101,451",),,$,"700,021",,,,"1,000",,,$,100,,,$,"700,121",
