,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contributed,,,,,,Contributed,,,Accumulated,,,Total Class AMembers’,,,,,,Contributed,,,,,,Contributed,,,TotalMembers’,,,,,,,,,,,,
,,Interests,,,Capital,,,Shares,,,Capital,,,Deficit,,,Equity,,,Shares,,,Capital,,,Shares,,,Capital,,,Equity,,,,,,,,,,,,
"Balance at January 24, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"80,600",,,,"1,612,000",,,,-,,,,"1,612,000",,,,-,,,,-,,,,-,,,,-,,,,"1,612,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,121,,,,"2,420",,,,-,,,,-,,,,"2,420",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(162,420",),,,"(162,420",),,,-,,,,-,,,,-,,,,-,,,,"(162,420",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"80,600",,,$,"1,612,000",,,$,"(162,420",),,$,"1,449,580",,,,121,,,$,"2,420",,,,"1,000",,,$,100,,,$,"1,452,100",
